"subj" "group" "tree" "cat" "rt"
8 0 1 3 5823
8 0 6 13 5226
8 0 7 15 1632
8 0 7 15 2075
8 0 5 11 4224
8 0 7 15 4598
8 0 6 12 1722
8 0 6 12 1472
8 0 0 1 3340
8 0 7 15 2361
8 0 3 6 2756
8 0 5 11 2277
8 0 3 7 2110
8 0 3 7 1498
8 0 6 13 2821
8 0 3 7 2533
8 0 5 11 2248
8 0 1 3 5365
8 0 7 15 1982
8 0 0 0 5802
8 0 1 3 6994
8 0 0 1 3584
8 0 0 1 3352
8 0 5 11 4332
8 0 4 8 5750
8 0 3 7 1546
8 0 3 7 2058
8 0 5 11 1749
8 0 3 7 4026
8 0 5 11 3513
8 0 1 3 2276
8 0 7 15 2409
8 0 1 3 1781
8 0 1 2 1895
8 0 5 11 2294
8 0 0 1 4867
8 0 4 8 3289
8 0 5 11 2398
8 0 1 2 3490
8 0 0 0 3856
8 0 3 7 2302
8 0 3 6 2396
8 0 0 0 3709
8 0 4 9 3343
8 0 2 5 2654
8 0 5 11 2700
8 0 6 12 1376
8 0 6 12 3577
8 0 1 3 3737
8 0 4 8 4084
8 0 3 7 2015
8 0 7 15 1986
8 0 7 15 1654
8 0 0 1 4264
8 0 7 15 2270
8 0 6 13 2539
8 0 4 8 3390
8 0 5 11 2255
8 0 4 8 4105
8 0 4 8 3152
8 0 2 5 1942
8 0 2 5 1630
9 0 3 7 2920
9 0 5 11 3171
9 0 2 5 2684
9 0 6 13 2640
9 0 2 5 2430
9 0 4 9 4110
9 0 6 12 2281
9 0 3 7 1965
9 0 7 15 1871
9 0 4 9 4579
9 0 7 15 2940
9 0 3 7 1942
9 0 2 5 1552
9 0 0 0 2890
9 0 4 9 4494
9 0 1 3 3131
9 0 1 3 6029
9 0 0 1 3316
9 0 1 3 5359
9 0 2 5 2905
9 0 1 3 4108
9 0 4 8 8464
9 0 0 0 3489
9 0 3 7 3350
9 0 5 11 3415
9 0 7 15 2783
9 0 3 7 2407
9 0 4 9 3918
9 0 3 7 2481
9 0 0 1 4310
9 0 1 3 2882
9 0 0 1 4286
9 0 6 13 1851
9 0 3 7 2528
9 0 1 3 4195
9 0 2 5 2563
9 0 6 13 2140
9 0 0 1 3743
9 0 4 8 5057
9 0 2 5 2287
9 0 7 15 3443
9 0 5 11 2417
9 0 6 12 4777
9 0 0 1 2105
9 0 1 3 5501
9 0 5 11 2505
9 0 4 8 5701
9 0 2 5 2792
9 0 3 7 3769
9 0 4 9 4281
9 0 4 9 3302
9 0 6 13 4321
9 0 1 3 2621
9 0 7 15 3716
9 0 6 12 2999
9 0 2 5 2734
9 0 4 8 3321
9 0 3 7 2499
9 0 5 11 5263
9 0 5 10 3612
9 0 6 13 2220
9 0 7 15 2403
9 0 3 7 3762
9 0 7 15 2004
9 0 6 13 4604
9 0 2 5 2603
9 0 5 11 2787
9 0 5 11 3699
9 0 5 11 2383
9 0 1 3 3391
9 0 0 1 5688
9 0 7 15 4532
9 0 6 13 2399
9 0 2 5 3286
9 0 5 11 3195
9 0 1 3 2859
9 0 7 15 2096
9 0 0 1 2349
9 0 0 0 4374
9 0 7 15 2447
10 0 5 11 1967
10 0 0 0 3322
10 0 4 8 2999
10 0 7 15 2058
10 0 0 1 1908
10 0 6 12 2567
10 0 4 9 3638
10 0 5 10 2390
10 0 2 4 2220
10 0 2 5 3062
10 0 5 11 2835
10 0 5 11 3059
10 0 7 15 1221
10 0 3 7 2424
10 0 2 5 2048
10 0 2 4 2526
10 0 0 1 1537
10 0 1 2 3906
10 0 4 8 2219
10 0 1 3 2499
10 0 3 7 2228
10 0 4 8 3227
10 0 6 13 1379
10 0 3 7 3759
10 0 1 3 2394
10 0 6 12 2615
10 0 1 3 2245
10 0 4 9 3101
10 0 2 4 2996
10 0 1 3 3351
10 0 0 0 2620
10 0 5 11 2905
10 0 1 3 1734
10 0 0 0 3154
10 0 5 11 2266
10 0 4 8 2417
10 0 4 8 2576
10 0 7 15 2379
10 0 6 12 2085
10 0 2 4 3388
10 0 2 4 2624
10 0 0 0 4081
10 0 6 13 1555
10 0 1 3 2938
10 0 5 11 2532
10 0 0 0 2040
10 0 0 0 2768
10 0 3 6 3011
10 0 7 15 2383
10 0 3 7 2777
10 0 4 8 3459
10 0 2 4 2284
10 0 5 11 2108
10 0 2 5 1893
10 0 6 13 1757
10 0 3 7 2440
10 0 6 12 1784
10 0 0 0 4043
10 0 0 1 2786
10 0 1 3 4435
10 0 7 15 1794
10 0 7 15 1615
10 0 6 12 1652
10 0 4 8 3481
10 0 7 15 2072
10 0 7 15 1922
10 0 7 15 2314
10 0 4 8 3056
10 0 6 12 2612
10 0 3 7 2615
10 0 3 7 1464
10 0 5 11 3025
10 0 3 6 2878
10 0 3 7 3912
10 0 5 11 2584
10 0 2 4 2482
10 0 7 14 2603
10 0 1 3 2843
10 0 6 13 4051
10 0 1 3 2668
11 0 3 7 2939
11 0 5 11 5015
11 0 4 8 4769
11 0 7 15 2370
11 0 5 11 4639
11 0 5 10 7229
11 0 4 9 3187
11 0 3 7 3805
11 0 5 11 4680
11 0 5 11 2797
11 0 1 3 5338
11 0 3 6 3675
11 0 4 8 3179
11 0 7 15 2557
11 0 0 0 4939
11 0 6 12 2677
11 0 6 12 6790
11 0 6 13 3244
11 0 2 5 2573
11 0 4 9 4003
11 0 4 8 8044
11 0 1 3 3002
11 0 7 14 2541
11 0 6 13 2626
11 0 2 4 1764
11 0 0 0 1666
11 0 3 7 1882
11 0 3 7 2514
11 0 3 7 1849
11 0 7 15 1809
11 0 6 13 2516
11 0 6 13 2421
11 0 7 15 2157
11 0 4 8 3178
11 0 1 3 1119
11 0 6 12 2669
11 0 6 13 1621
11 0 5 11 2025
11 0 5 11 2027
11 0 5 11 1821
11 0 1 3 2601
11 0 7 15 1667
11 0 2 4 3195
11 0 5 10 3408
11 0 2 5 3296
11 0 7 14 2688
11 0 4 9 2592
11 0 4 9 2698
11 0 0 1 3249
11 0 6 12 3194
11 0 1 3 2788
11 0 0 1 3992
11 0 3 7 2258
11 0 7 15 2395
11 0 4 9 3360
11 0 0 0 3538
11 0 7 15 2496
11 0 1 2 4318
11 0 3 6 5083
11 0 2 5 3855
11 0 0 0 3839
11 0 2 5 1566
11 0 5 11 5605
11 0 2 5 3195
11 0 2 5 3775
11 0 0 1 4985
11 0 1 2 3483
11 0 7 15 1648
11 0 0 0 3738
11 0 1 3 2263
11 0 1 3 3247
11 0 4 9 3747
11 0 3 7 3789
11 0 0 0 4744
11 0 6 13 3298
11 0 2 4 4922
11 0 0 0 4101
11 0 3 7 4570
11 0 2 5 4308
11 0 1 3 5922
12 0 7 15 1711
12 0 6 13 1899
12 0 5 11 1479
12 0 5 11 2057
12 0 1 3 2145
12 0 3 6 1911
12 0 6 13 1924
12 0 0 0 2010
12 0 4 8 2108
12 0 5 10 1868
12 0 6 12 1720
12 0 7 15 2102
12 0 0 0 1252
12 0 2 4 1212
12 0 7 15 1476
12 0 6 13 853
12 0 5 11 3973
12 0 0 1 987
12 0 2 4 1764
12 0 4 8 2408
12 0 7 14 1283
12 0 6 13 2113
12 0 3 7 675
12 0 7 15 1791
12 0 4 8 2976
12 0 2 4 3386
12 0 2 4 1142
12 0 1 2 904
12 0 6 12 1346
12 0 0 1 1943
12 0 3 6 1431
12 0 5 10 1395
12 0 6 13 2616
12 0 1 2 1550
12 0 1 2 1033
12 0 0 0 976
12 0 2 4 1165
12 0 4 9 2943
12 0 1 2 1743
12 0 2 4 1965
12 0 3 6 1483
12 0 5 11 4529
12 0 7 14 1250
12 0 1 2 2178
12 0 3 6 2254
12 0 4 8 2357
12 0 5 11 3646
12 0 1 2 1460
12 0 6 12 1318
12 0 7 14 1264
12 0 2 4 632
12 0 2 4 1643
12 0 7 15 1615
12 0 2 4 1723
12 0 1 2 1501
12 0 0 0 1169
12 0 2 4 1577
12 0 7 14 792
12 0 3 7 2120
12 0 5 11 2185
12 0 5 11 1557
12 0 3 6 1477
12 0 3 7 2228
12 0 4 9 1692
12 0 6 13 1301
12 0 7 15 1582
12 0 4 9 1531
12 0 0 0 1107
12 0 4 8 1113
12 0 4 8 1685
12 0 6 12 1659
12 0 1 2 1612
12 0 3 7 2847
12 0 5 10 1672
12 0 0 0 1218
12 0 3 6 1205
12 0 4 8 1300
12 0 0 0 4003
13 0 2 4 2864
13 0 0 1 2342
13 0 1 2 2915
13 0 5 11 2881
13 0 7 15 1239
13 0 0 0 3545
13 0 6 13 1740
13 0 4 8 2929
13 0 7 15 3918
13 0 4 8 2313
13 0 6 13 4000
13 0 5 11 1960
13 0 1 2 3197
13 0 3 6 4358
13 0 0 0 2888
13 0 2 4 1598
13 0 4 8 4450
13 0 0 0 2359
13 0 3 6 4620
13 0 5 11 2267
13 0 5 11 3234
13 0 7 15 2523
13 0 0 0 2384
13 0 3 7 3091
13 0 6 13 4513
13 0 1 3 3204
13 0 1 3 1726
13 0 2 4 2540
13 0 1 3 3001
13 0 2 4 4195
13 0 3 7 1707
13 0 1 3 1947
13 0 6 12 1984
13 0 0 0 2132
13 0 6 13 2041
13 0 3 7 1619
13 0 4 8 2773
13 0 2 4 2384
13 0 7 15 1595
13 0 2 4 3559
13 0 7 15 1578
13 0 0 1 2423
13 0 6 12 2640
13 0 6 12 2657
13 0 5 11 1665
13 0 6 13 2521
13 0 2 4 2879
13 0 1 3 3853
13 0 3 7 1795
13 0 1 2 2016
13 0 7 15 1770
13 0 6 12 3254
13 0 0 0 2517
13 0 5 11 2043
13 0 5 11 4972
